,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1006,Masticophis flagellum,reptilia,squamata,colubridae,1,0,16.5,155,0.4275,0,0,1,1,290.5,13,9.714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
1007,Pituophis catenifer,reptilia,squamata,colubridae,1,0,22.5,152,7.013792857,0,0,1,1,70,13,9.714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
1008,Anguis fragilis,reptilia,squamata,anguidae,1,0,42,50,0.06,0,1,1,1,120,11.5,9.714285714,0,0,1,1,0,0,0,0,0,0,0,1,0
1009,Sistrurus catenatus,reptilia,squamata,viperidae,1,0,18,67.5,0.35,0,0,1,1,90,12.5,9.714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
1010,Storeria dekayi,reptilia,squamata,colubridae,1,0,7,39.5,7.013792857,0,1,0,1,105.1130435,17,17,0,0,0,0,0,0,0,0,0,0,0,1,1
1011,Lachesis muta,reptilia,squamata,viperidae,1,1,18,250,4,0,0,1,1,69.5,12,9.714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
1012,Cyclura lewisi,reptilia,squamata,iguanidae,2,1,30,100,14,0,0,2,1,77.5,11,9.714285714,1,1,1,1,1,1,1,1,0,0,0,0,1
1013,Pituophis melanoleucus,reptilia,squamata,colubridae,0,0,7.5,125,2.5,0,0,1,1,71.5,13.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1014,Naja philippinensis,reptilia,squamata,elapidae,0,0,20,100,7.013792857,0,1,1,1,80,15,9.714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
1015,Sceloporus olivaceus,reptilia,squamata,phrynosomatidae,1,0,7,23.5,7.013792857,0,0,0,1,60,10.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
1016,Farancia abacura,reptilia,squamata,colubridae,1,0,19,100,7.013792857,0,1,1,1,105.1130435,57.5,9.714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1017,Phelsuma laticauda,reptilia,squamata,gekkonidae,1,0,10,18.5,7.013792857,1,0,0,1,42.5,10,9.714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
1018,Trimeresurus stejnegeri,reptilia,squamata,viperidae,1,0,15.40492958,75,7.013792857,0,1,1,1,105.1130435,15.20134228,9.714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
