,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1016,Lampropeltis triangulum,reptilia,squamata,colubridae,1.0,0.0,16.5,96.0,0.1315,0,1,1.0,1.0,60.0,13.5,,0,0,0,0,0,0,0,0,0,0,0,1,1
1017,Malayopython reticulatus,reptilia,squamata,pythonidae,,0.0,26.0,350.0,38.0,0,1,1.0,1.0,88.0,47.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
1018,Gekko gecko,reptilia,squamata,gekkonidae,,0.0,15.0,27.5,0.275,0,1,0.0,,120.0,1.5,,0,0,1,0,1,0,0,0,0,0,0,0,1
1019,Boiga irregularis,reptilia,squamata,colubridae,1.0,0.0,12.5,,,0,1,1.0,,90.0,8.0,,0,0,1,0,1,0,0,0,0,0,0,0,1
1020,Bitis gabonica,reptilia,squamata,viperidae,,,18.0,105.0,8.5,0,1,1.0,,210.0,25.5,,1,0,0,0,0,0,0,0,0,0,0,0,1
1021,Crotalus molossus,reptilia,squamata,viperidae,1.0,0.0,17.5,91.5,,0,1,1.0,0.0,,8.0,1.5,0,0,0,0,0,0,0,0,0,1,0,1,1
1022,Agkistrodon contortrix ,reptilia,squamata,viperidae,1.0,0.0,22.0,72.5,0.1585,1,1,1.0,1.0,180.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1023,Boiga dendrophila,reptilia,squamata,colubridae,,,16.0,150.0,,0,1,1.0,,105.0,15.0,,0,0,1,0,0,0,0,0,0,0,0,0,1
1024,Crotalus oreganus,reptilia,squamata,viperidae,1.0,0.0,17.5,100.0,,0,1,1.0,,,13.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1025,Crotalus horridus,reptilia,squamata,viperidae,0.0,0.0,33.5,121.5,0.2505,0,1,1.0,1.0,135.0,10.5,8.5,0,0,0,0,0,0,0,0,0,0,0,1,0
1026,Drymarchon couperi,reptilia,squamata,colubridae,0.0,0.0,21.0,150.0,2.0,0,0,1.0,1.0,90.0,12.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1027,Heloderma horridum,reptilia,squamata,helodermatidae,0.0,0.0,22.0,74.0,0.8,0,1,1.0,,195.0,16.0,,0,0,0,0,0,0,0,0,0,0,0,1,1
1028,Crotalus adamanteus,reptilia,squamata,viperidae,0.0,0.0,17.5,100.0,2.5,0,0,1.0,1.0,195.0,14.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1029,Lampropeltis elapsoides,reptilia,squamata,colubridae,1.0,0.0,22.0,45.0,,0,1,1.0,1.0,52.5,7.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1030,Pantherophis spiloides,reptilia,squamata,colubridae,,0.0,25.0,141.0,,0,1,,,,16.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1031,Zamenis longissimus,reptilia,squamata,colubridae,,0.0,27.5,135.0,,0,0,1.0,,56.0,10.0,,0,0,1,1,0,0,0,0,0,0,0,1,0
1032,Ptyas mucosa,reptilia,squamata,colubridae,,,11.0,150.0,0.9085,0,0,1.0,,60.0,10.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
1033,Zootoca vivipara,reptilia,squamata,lacertidae,,0.0,5.5,12.0,,0,0,0.0,1.0,90.0,6.5,,0,0,1,1,0,0,0,0,0,0,0,1,0
1034,Lampropholis guichenoti,reptilia,squamata,scincidae,,0.0,2.5,9.0,,0,1,0.0,,,6.0,,0,0,0,0,1,0,0,0,0,0,0,1,1
1035,Pseudemys alabamensis,reptilia,testudines,emydidae,,1.0,,22.5,,0,0,2.0,,76.5,6.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1036,Natrix natrix,reptilia,squamata,colubridae,,0.0,20.0,,0.24,0,0,1.0,,70.0,24.0,,1,0,1,1,0,0,0,0,1,0,0,1,0
1037,Micrurus fulvius,reptilia,squamata,elapidae,1.0,0.0,7.0,,,0,0,1.0,,65.0,7.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1038,Emydoidea blandingii,reptilia,testudines,emydidae,0.0,1.0,75.0,20.5,,0,0,0.0,1.0,104.0,11.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1039,Pantherophis alleghaniensis,reptilia,squamata,colubridae,,0.0,34.0,135.0,,0,1,1.0,,60.0,16.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1040,Heterodon platirhinos,reptilia,squamata,colubridae,1.0,0.0,12.0,71.0,,0,0,1.0,1.0,60.0,24.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1041,Masticophis flagellum,reptilia,squamata,colubridae,1.0,0.0,16.5,155.0,0.4275,0,0,1.0,,290.5,13.0,,0,0,0,0,0,0,0,0,0,1,0,1,1
1042,Pituophis catenifer,reptilia,squamata,colubridae,1.0,0.0,22.5,152.0,,0,0,1.0,1.0,70.0,13.0,,0,0,0,0,0,0,0,0,0,1,0,1,1
1043,Anguis fragilis,reptilia,squamata,anguidae,1.0,0.0,42.0,50.0,0.06,0,1,1.0,1.0,120.0,11.5,,0,0,1,1,0,0,0,0,0,0,0,1,0
1044,Calotes versicolor,reptilia,squamata,agamidae,,,5.0,37.0,,0,0,0.0,,45.5,15.0,,0,0,1,0,0,0,0,0,0,0,0,0,1
1045,Sistrurus catenatus,reptilia,squamata,viperidae,,0.0,18.0,67.5,0.35,0,0,1.0,,90.0,12.5,,0,0,0,0,0,0,0,0,0,1,0,1,1
1046,Storeria dekayi,reptilia,squamata,colubridae,1.0,0.0,7.0,39.5,,0,1,0.0,1.0,,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,1,1
1047,Lachesis muta,reptilia,squamata,viperidae,,,18.0,250.0,4.0,0,0,1.0,,69.5,12.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1048,Cyclura lewisi,reptilia,squamata,iguanidae,2.0,1.0,30.0,100.0,14.0,0,0,2.0,,77.5,11.0,,1,1,1,1,1,1,1,1,0,0,0,0,1
1049,Pituophis melanoleucus,reptilia,squamata,colubridae,0.0,0.0,7.5,125.0,2.5,0,0,1.0,,71.5,13.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1050,Crocodylus suchus,reptilia,crocodilia,crocodylidae,,,45.0,150.0,,1,1,1.0,,80.0,50.0,,1,0,0,0,0,0,0,0,0,0,0,0,1
1051,Naja philippinensis,reptilia,squamata,elapidae,0.0,0.0,20.0,100.0,,0,1,1.0,,80.0,15.0,,0,0,1,0,0,0,0,0,0,0,0,0,1
1052,Sceloporus olivaceus,reptilia,squamata,phrynosomatidae,1.0,0.0,7.0,23.5,,0,0,0.0,,60.0,10.5,,0,0,0,0,0,0,0,0,0,0,0,1,1
1053,Farancia abacura,reptilia,squamata,colubridae,1.0,0.0,19.0,100.0,,0,1,1.0,1.0,,57.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1054,Phelsuma laticauda,reptilia,squamata,gekkonidae,1.0,0.0,10.0,18.5,,1,0,0.0,,42.5,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,1
1055,Trimeresurus stejnegeri,reptilia,squamata,viperidae,1.0,0.0,,75.0,,0,1,1.0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1
1056,Naja oxiana,reptilia,squamata,elapidae,,,,100.0,,0,1,1.0,,62.5,12.5,,0,0,1,0,0,0,0,0,0,0,0,1,1
1057,Simalia amethistina,reptilia,squamata,pythonidae,1.0,0.0,20.0,300.0,10.0,0,1,1.0,,,13.0,,0,0,0,0,1,0,0,0,0,0,0,0,1
1058,Ctenosaura similis,reptilia,squamata,iguanidae,1.0,0.0,4.0,50.0,,1,0,2.0,,90.0,30.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1059,Pseudopus apodus,reptilia,squamata,anguidae,1.0,0.0,50.0,135.0,,0,0,1.0,,50.0,8.0,,0,0,1,1,0,0,0,0,0,0,0,1,1
1060,Eryx jayakari,reptilia,squamata,boidae,1.0,0.0,25.0,38.0,,0,1,1.0,,66.0,5.5,,0,0,1,0,0,0,0,0,0,1,0,0,1
1061,Varanus salvadorii ,reptilia,squamata,varanidae,,0.0,16.0,150.0,20.0,0,0,1.0,1.0,195.0,8.0,,0,0,0,0,1,0,0,0,0,0,0,0,1
1062,Atheris hispida ,reptilia,squamata,viperidae,,,11.0,65.5,,0,1,1.0,,195.0,12.0,,1,0,0,0,0,0,0,0,0,0,0,0,1
1063,Eryx johnii ,reptilia,squamata,boidae,,,17.0,61.0,,0,0,1.0,,,14.0,,0,0,1,0,0,0,0,0,0,0,0,0,1
1064,Dipsosaurus dorsalis,reptilia,squamata,iguanidae,,0.0,10.5,61.0,0.069,0,0,2.0,1.0,,5.5,,0,0,0,0,0,0,0,0,0,1,0,0,1
1065,Oxybelis fulgidus,reptilia,squamata,colubridae,1.0,0.0,12.0,150.0,,0,0,1.0,,100.0,8.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1066,Carettochelys insculpta,reptilia,testudines,carettochelyidae,0.0,1.0,27.5,70.0,,1,1,0.0,1.0,86.0,16.5,,0,0,0,0,1,0,0,0,0,0,0,0,1
1067,Bitis nasicornis,reptilia,squamata,viperidae,,,8.0,89.5,,0,1,1.0,,,22.0,,1,0,0,0,0,0,0,0,0,0,0,0,1
1068,Dendroaspis viridis,reptilia,squamata,elapidae,1.0,0.0,18.0,150.0,,0,1,1.0,,77.0,14.0,,1,0,0,0,0,0,0,0,0,0,0,0,1
1069,Varanus varius,reptilia,squamata,varanidae,1.0,0.0,20.0,200.0,14.0,0,0,1.0,,195.0,10.0,,0,0,0,0,1,0,0,0,0,0,0,1,1
1070,Trimeresurus albolabris,reptilia,squamata,viperidae,1.0,0.0,10.0,705.0,,0,1,1.0,,143.0,15.0,,0,0,1,0,0,0,0,0,0,0,0,0,1
1071,Regina septemvittata,reptilia,squamata,colubridae,1.0,0.0,19.0,61.0,,0,0,1.0,1.0,105.0,12.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1072,Trachemys scripta,reptilia,testudines,emydidae,1.0,0.0,35.0,19.5,0.003,1,0,0.0,1.0,75.0,13.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1073,Lampropeltis holbrooki,reptilia,squamata,colubridae,1.0,0.0,20.0,120.0,,0,1,1.0,,,14.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1074,Plestiodon skiltonianus,reptilia,squamata,scincidae,1.0,0.0,10.0,155.0,,0,0,0.0,,,4.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1075,Crotaphytus collaris,reptilia,squamata,crotaphytidae,1.0,0.0,6.5,29.0,,0,0,0.0,,75.0,7.0,,0,0,0,0,0,0,0,0,0,0,0,1,1
1076,Phrynosoma platyrhinos,reptilia,squamata,phrynosomatidae,1.0,0.0,6.5,95.0,,0,1,0.0,,55.0,9.0,,0,0,0,0,0,0,0,0,0,1,0,1,1
1077,Bothrops atrox,reptilia,squamata,viperidae,,,8.0,100.0,,0,1,1.0,,105.0,70.0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1078,Lacerta agilis,reptilia,squamata,lacertidae,0.0,0.0,6.5,16.5,0.0125,0,0,0.0,,52.5,10.0,,0,0,1,1,0,0,0,0,0,0,0,1,0
1079,Boa imperator,reptilia,squamata,boidae,1.0,0.0,30.0,,6.0,0,1,1.0,1.0,110.0,37.5,,0,0,0,0,0,0,0,0,0,0,0,0,1
1080,Terrapene carolina,reptilia,testudines,emydidae,0.0,1.0,138.0,13.0,,1,0,0.0,1.0,75.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,1,1
1081,Naja nivea,reptilia,squamata,elapidae,,,16.0,100.0,,0,0,1.0,,,14.0,,1,0,0,0,0,0,0,0,0,1,0,1,1
1082,Thamnophis marcianus,reptilia,squamata,colubridae,,0.0,8.5,76.5,0.0765,0,0,1.0,1.0,92.5,20.5,,0,0,0,0,0,0,0,0,0,0,0,1,1
1083,Sternotherus odoratus,reptilia,testudines,kinosternidae,1.0,0.0,50.0,9.5,0.603,0,1,1.0,,125.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
